Reviews,Size,Color 1,Color 2,Color 3,Color 4,Style Code,Product Code,Comfort,Durability/Quality/Performance,Star Rating
5,9,W,h,i,t,FB8875-002,Jordan Max Aura 4,Yes ,,5
5,8,S,k,y, ,FB8886-001,Jordan Max Aura 5,Yes ,,5
2.2,6,M,i,d,n,FQ8174-237,Air Jordan 1 Low,Yes ,,2.2
0.1,7,C,e,m,e,FB8876-600,Air Jordan 1 Low FlyEase,No,,0.1
3.4,10,W,h,i,t,FZ3964-252,Jordan Break,No,,3.4
3.5,8,B,l,a,c,FZ3967-072,Jordan Point Lane,Yes ,,3.5
4,9,W,h,i,t,FB8875-002,Air Jordan 1 Low FlyEase,Yes ,,4
4,8,W,h,i,t,FB8886-001,Jumpman MVP,Yes ,,4
4,8,N,i,g,h,FQ8174-237,Jordan Air 200E Zion PE,Yes ,,4
4,7,S,a,i,l,FB8876-600,Jordan Dri-FIT Sport,Yes ,,4
5,6,W,h,i,t,FZ3964-252,Air Jordan 1 Mid,Yes ,,5
5,9,G,e,o,d,FZ3967-072,Jordan Post,Yes ,,5
3,9,B,l,a,c,FB8875-002,Air Jordan 1 Mid SE,Yes ,,3
4,8,S,k,y, ,FB8886-001,Air Jordan 3 'Off-Noir',Yes ,,4
2,6,B,l,a,c,FQ8174-237,Air Jordan 4 Retro,Yes ,,2
3.3,7,T,i,t,a,FB8876-600,Jordan Brooklyn Fleece,Yes ,,3.3
0,10,W,h,i,t,FZ3964-252,Jumpman Two Trey,No,,0
0,8,B,l,a,c,FZ3967-072,Jumpman Two Trey,No,,0
5,9,U,n,i,v,FB8875-002,Jordan 1 Mid Alt,Yes ,,5
4,8,G,y,m, ,FB8886-001,Jordan 1 Mid SE,Yes ,,4
3,8,W,h,i,t,FQ8174-237,Jordan Brooklyn Fleece,Yes ,,3
3.1,7,W,h,i,t,FB8876-600,Zion 3 'Gen Zion',Yes ,,3.1
0,6,B,l,u,e,FZ3964-252,Air Jordan 1 Low SE,Yes ,,3.5
4,9,B,l,a,c,FZ3967-072,Jordan Stay Loyal 2,Yes ,,4
2,9,B,l,a,c,FB8875-002,Air Jordan 4 Craft 'Olive',Yes ,,2
4.5,8,B,l,a,c,FB8886-001,Jordan Flight MVP,Yes ,,4.5
3,6,B,l,a,c,FQ8174-237,Air Jordan 1 Mid SE,Yes ,,3
4,7,A,n,t,h,FB8876-600,Jordan Winterized 6 Rings,Yes ,,4
5,10,W,h,i,t,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,5
5,8,S,k,y, ,FZ3967-072,Jordan Essentials,No,,5
2.2,9,M,i,d,n,FB8875-002,Jordan 1 Retro High OG,No,,2.2
0.1,8,C,e,m,e,FB8886-001,Air Jordan 1 Mid SE Craft,Yes ,,0.1
3.4,8,W,h,i,t,FQ8174-237,Air Jordan 1 Hi FlyEase,Yes ,,3.4
3.5,7,B,l,a,c,FB8876-600,Air Jordan 1 Mid,Yes ,,3.5
4,6,W,h,i,t,FZ3964-252,Air Jordan 5 'Navy',Yes ,,4
4,9,W,h,i,t,FZ3967-072,Air Jordan 1 Zoom CMFT 2,Yes ,,4
4,9,N,i,g,h,FB8875-002,Air Jordan 1 Low,Yes ,,4
4,8,S,a,i,l,FB8886-001,Air Jordan 1 Mid,Yes ,,4
5,6,W,h,i,t,FQ8174-237,Air Jordan 1 Low G,Yes ,,5
5,7,G,e,o,d,FB8876-600,Air Jordan 1 Hi FlyEase,Yes ,,5
3,10,B,l,a,c,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,3
4,8,S,k,y, ,FZ3967-072,Jordan 1 Mid SE,Yes ,,4
2,9,B,l,a,c,FB8875-002,Air Jordan 1 Low,No,,2
3.3,8,T,i,t,a,FB8886-001,Air Jordan 1 Low SE,No,,3.3
0,8,W,h,i,t,FQ8174-237,Air Jordan Legacy 312 Low,Yes ,,0
0,7,B,l,a,c,FB8876-600,Air Jordan 1 Low SE Craft,Yes ,,0
5,6,U,n,i,v,FZ3964-252,Jordan x UNDEFEATED,Yes ,,5
4,9,G,y,m, ,FZ3967-072,Air Jordan 1 Elevate High,Yes ,,4
3,9,W,h,i,t,FB8875-002,Jumpman Two Trey,Yes ,,3
3.1,8,W,h,i,t,FB8886-001,Jumpman Two Trey,Yes ,,3.1
0,6,B,l,u,e,FQ8174-237,Air Jordan 1 Mid,Yes ,,3.5
4,7,B,l,a,c,FB8876-600,Jordan Essentials,Yes ,,4
2,10,B,l,a,c,FZ3964-252,Air Jordan 1 Elevate High,Yes ,,2
4.5,8,B,l,a,c,FZ3967-072,Jordan 1 Low Alt,Yes ,,4.5
3,9,B,l,a,c,FB8875-002,Jordan Series,Yes ,,3
4,8,A,n,t,h,FB8886-001,Jordan Brooklyn Fleece,No,,4
5,8,W,h,i,t,FQ8174-237,Air Jordan 1 Low SE,No,,5
5,7,S,k,y, ,FB8876-600,Air Jordan 1 Mid SE,Yes ,,5
2.2,6,M,i,d,n,FZ3964-252,Jordan 1 Mid,Yes ,,2.2
0.1,9,C,e,m,e,FZ3967-072,Air Jordan Legacy 312,Yes ,,0.1
3.4,9,W,h,i,t,FB8875-002,Jordan Max Aura 4,Yes ,,3.4
3.5,8,B,l,a,c,FB8886-001,Jordan Max Aura 5,Yes ,,3.5
4,6,W,h,i,t,FQ8174-237,Air Jordan 1 Low,Yes ,,4
4,7,W,h,i,t,FB8876-600,Air Jordan 1 Low FlyEase,Yes ,,4
4,10,N,i,g,h,FZ3964-252,Jordan Break,Yes ,,4
4,8,S,a,i,l,FZ3967-072,Jordan Point Lane,Yes ,,4
5,9,W,h,i,t,FB8875-002,Air Jordan 1 Low FlyEase,Yes ,,5
5,8,G,e,o,d,FB8886-001,Jumpman MVP,Yes ,,5
3,8,B,l,a,c,FQ8174-237,Jordan Air 200E Zion PE,No,,3
4,7,S,k,y, ,FB8876-600,Jordan Dri-FIT Sport,No,,4
2,6,B,l,a,c,FZ3964-252,Air Jordan 1 Mid,Yes ,,2
3.3,9,T,i,t,a,FZ3967-072,Jordan Post,Yes ,,3.3
0,9,W,h,i,t,FB8875-002,Air Jordan 1 Mid SE,Yes ,,0
0,8,B,l,a,c,FB8886-001,Air Jordan 3 'Off-Noir',Yes ,,0
5,6,U,n,i,v,FQ8174-237,Air Jordan 4 Retro,Yes ,,5
4,7,G,y,m, ,FB8876-600,Jordan Brooklyn Fleece,Yes ,,4
3,10,W,h,i,t,FZ3964-252,Jumpman Two Trey,Yes ,,3
3.1,8,W,h,i,t,FZ3967-072,Jumpman Two Trey,Yes ,,3.1
0,9,B,l,u,e,FB8875-002,Jordan 1 Mid Alt,Yes ,,3.5
4,8,B,l,a,c,FB8886-001,Jordan 1 Mid SE,Yes ,,4
2,8,B,l,a,c,FQ8174-237,Jordan Brooklyn Fleece,Yes ,,2
4.5,7,B,l,a,c,FB8876-600,Zion 3 'Gen Zion',No,,4.5
3,6,B,l,a,c,FZ3964-252,Air Jordan 1 Low SE,No,,3
4,9,A,n,t,h,FZ3967-072,Jordan Stay Loyal 2,Yes ,,4
5,9,W,h,i,t,FB8875-002,Air Jordan 4 Craft 'Olive',Yes ,,5
5,8,S,k,y, ,FB8886-001,Jordan Flight MVP,Yes ,,5
2.2,6,M,i,d,n,FQ8174-237,Woodland Men Suede Trekking Shoes,Yes ,,2.2
0.1,7,C,e,m,e,FB8876-600,Woodland Men Nubuck Trekking Shoes,Yes ,,0.1
3.4,10,W,h,i,t,FZ3964-252,Woodland Men Leather Trekking Shoes,Yes ,,3.4
3.5,8,B,l,a,c,FZ3967-072,Woodland Men Woven Design Running Shoes,Yes ,,3.5
4,9,W,h,i,t,FB8875-002,Air Jordan 1 Mid SE,Yes ,,4
4,8,W,h,i,t,FB8886-001,Jordan Winterized 6 Rings,Yes ,,4
4,8,N,i,g,h,FQ8174-237,Air Jordan 1 Mid SE,Yes ,,4
4,7,S,a,i,l,FB8876-600,Jordan Essentials,Yes ,,4
5,6,W,h,i,t,FZ3964-252,Jordan 1 Retro High OG,No,,5
5,9,G,e,o,d,FZ3967-072,Air Jordan 1 Mid SE Craft,No,,5
3,9,B,l,a,c,FB8875-002,Air Jordan 1 Hi FlyEase,Yes ,,3
4,8,S,k,y, ,FB8886-001,Air Jordan 1 Mid,Yes ,,4
2,6,B,l,a,c,FQ8174-237,Air Jordan 5 'Navy',Yes ,,2
3.3,7,T,i,t,a,FB8876-600,Air Jordan 1 Zoom CMFT 2,Yes ,,3.3
0,10,W,h,i,t,FZ3964-252,Air Jordan 1 Low,Yes ,,0
0,8,B,l,a,c,FZ3967-072,Air Jordan 1 Mid,Yes ,,0
5,9,U,n,i,v,FB8875-002,Air Jordan 1 Low G,Yes ,,5
4,8,G,y,m, ,FB8886-001,Air Jordan 1 Hi FlyEase,Yes ,,4
3,8,W,h,i,t,FQ8174-237,Air Jordan 1 Mid SE,Yes ,,3
0,7,B,l,u,e,FB8876-600,Jordan 1 Mid SE,Yes ,,3.5
4,6,B,l,a,c,FZ3964-252,Air Jordan 1 Low,Yes ,,4
2,9,B,l,a,c,FZ3967-072,Air Jordan 1 Low SE,No,,2
4.5,9,B,l,a,c,FB8875-002,Air Jordan Legacy 312 Low,No,,4.5
3,8,B,l,a,c,FB8886-001,Air Jordan 1 Low SE Craft,Yes ,,3
4,6,A,n,t,h,FQ8174-237,Jordan x UNDEFEATED,Yes ,,4
5,7,W,h,i,t,FB8876-600,Air Jordan 1 Elevate High,Yes ,,5
5,10,S,k,y, ,FZ3964-252,Jumpman Two Trey,Yes ,,5
2.2,8,M,i,d,n,FZ3967-072,Jumpman Two Trey,Yes ,,2.2
0.1,9,C,e,m,e,FB8875-002,Air Jordan 1 Mid,Yes ,,0.1
3.4,8,W,h,i,t,FB8886-001,Jordan Essentials,Yes ,,3.4
3.5,8,B,l,a,c,FQ8174-237,Air Jordan 1 Elevate High,Yes ,,3.5
4,7,W,h,i,t,FB8876-600,Jordan 1 Low Alt,Yes ,,4
4,6,W,h,i,t,FZ3964-252,Jordan Series,Yes ,,4
4,9,N,i,g,h,FZ3967-072,Jordan Brooklyn Fleece,Yes ,,4
4,9,S,a,i,l,FB8875-002,Air Jordan 1 Low SE,No,,4
5,8,W,h,i,t,FB8886-001,Air Jordan 1 Mid SE,No,,5
5,6,G,e,o,d,FQ8174-237,Jordan 1 Mid,Yes ,,5
3,7,B,l,a,c,FB8876-600,Air Jordan Legacy 312,Yes ,,3
4,10,S,k,y, ,FZ3964-252,Jordan Max Aura 4,Yes ,,4
2,8,B,l,a,c,FZ3967-072,Jordan Max Aura 5,Yes ,,2
3.3,9,T,i,t,a,FB8875-002,Air Jordan 1 Low,Yes ,,3.3
0,8,W,h,i,t,FB8886-001,Air Jordan 1 Low FlyEase,Yes ,,0
0,8,B,l,a,c,FQ8174-237,Jordan Break,Yes ,,0
5,7,U,n,i,v,FB8876-600,Jordan Point Lane,Yes ,,5
4,6,G,y,m, ,FZ3964-252,Air Jordan 1 Low FlyEase,Yes ,,4
3,9,W,h,i,t,FZ3967-072,Jumpman MVP,Yes ,,3
0,9,B,l,u,e,FB8875-002,Jordan Air 200E Zion PE,Yes ,,3.5
4,8,B,l,a,c,FB8886-001,Jordan Dri-FIT Sport,No,,4
2,6,B,l,a,c,FQ8174-237,Air Jordan 1 Mid,No,,2
4.5,7,B,l,a,c,FB8876-600,Jordan Post,Yes ,,4.5
3,10,B,l,a,c,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,3
4,8,A,n,t,h,FZ3967-072,Air Jordan 3 'Off-Noir',Yes ,,4
5,9,W,h,i,t,FB8875-002,Air Jordan 4 Retro,Yes ,,5
5,8,S,k,y, ,FB8886-001,Jordan Brooklyn Fleece,Yes ,,5
2.2,8,M,i,d,n,FQ8174-237,Jumpman Two Trey,Yes ,,2.2
0.1,7,C,e,m,e,FB8876-600,Jumpman Two Trey,Yes ,,0.1
3.4,6,W,h,i,t,FZ3964-252,Jordan 1 Mid Alt,Yes ,,3.4
3.5,9,B,l,a,c,FZ3967-072,Jordan 1 Mid SE,Yes ,,3.5
4,9,W,h,i,t,FB8875-002,Jordan Brooklyn Fleece,Yes ,,4
4,8,W,h,i,t,FB8886-001,Zion 3 'Gen Zion',Yes ,,4
4,6,N,i,g,h,FQ8174-237,Air Jordan 1 Low SE,No,,4
4,7,S,a,i,l,FB8876-600,Jordan Stay Loyal 2,No,,4
5,10,W,h,i,t,FZ3964-252,Air Jordan 4 Craft 'Olive',Yes ,,5
5,8,G,e,o,d,FZ3967-072,Jordan Flight MVP,Yes ,,5
3,9,B,l,a,c,FB8875-002,Air Jordan 1 Mid SE,Yes ,,3
4,8,S,k,y, ,FB8886-001,Jordan Winterized 6 Rings,Yes ,,4
2,8,B,l,a,c,FQ8174-237,Air Jordan 1 Mid SE,Yes ,,2
3.3,7,T,i,t,a,FB8876-600,Jordan Essentials,Yes ,,3.3
0,6,W,h,i,t,FZ3964-252,Jordan 1 Retro High OG,Yes ,,0
0,9,B,l,a,c,FZ3967-072,Air Jordan 1 Mid SE Craft,Yes ,,0
5,9,U,n,i,v,FB8875-002,Air Jordan 1 Hi FlyEase,Yes ,,5
4,8,G,y,m, ,FB8886-001,Air Jordan 1 Mid,Yes ,,4
3,6,W,h,i,t,FQ8174-237,Air Jordan 5 'Navy',Yes ,,3
3.1,7,W,h,i,t,FB8876-600,Air Jordan 1 Zoom CMFT 2,No,,3.1
0,10,B,l,u,e,FZ3964-252,Air Jordan 1 Low,No,,3.5
4,8,B,l,a,c,FZ3967-072,Air Jordan 1 Mid,Yes ,,4
2,9,B,l,a,c,FB8875-002,Air Jordan 1 Low G,Yes ,,2
4.5,8,B,l,a,c,FB8886-001,Air Jordan 1 Hi FlyEase,Yes ,,4.5
3,8,B,l,a,c,FQ8174-237,Air Jordan 1 Mid SE,Yes ,,3
4,7,A,n,t,h,FB8876-600,Jordan 1 Mid SE,Yes ,,4
5,6,W,h,i,t,FZ3964-252,Air Jordan 1 Low,Yes ,,5
5,9,S,k,y, ,FZ3967-072,Air Jordan 1 Low SE,Yes ,,5
2.2,9,M,i,d,n,FB8875-002,Air Jordan Legacy 312 Low,Yes ,,2.2
0.1,8,C,e,m,e,FB8886-001,Air Jordan 1 Low SE Craft,Yes ,,0.1
3.4,6,W,h,i,t,FQ8174-237,Jordan x UNDEFEATED,Yes ,,3.4
3.5,7,B,l,a,c,FB8876-600,Air Jordan 1 Elevate High,Yes ,,3.5
4,10,W,h,i,t,FZ3964-252,Jumpman Two Trey,No,,4
4,8,W,h,i,t,FZ3967-072,Jumpman Two Trey,No,,4
4,9,N,i,g,h,FB8875-002,Air Jordan 1 Mid,Yes ,,4
4,8,S,a,i,l,FB8886-001,Jordan Essentials,Yes ,,4
5,8,W,h,i,t,FQ8174-237,Air Jordan 1 Elevate High,Yes ,,5
5,7,G,e,o,d,FB8876-600,Jordan 1 Low Alt,Yes ,,5
3,6,B,l,a,c,FZ3964-252,Jordan Series,Yes ,,3
4,9,S,k,y, ,FZ3967-072,Jordan Brooklyn Fleece,Yes ,,4
2,9,B,l,a,c,FB8875-002,Air Jordan 1 Low SE,Yes ,,2
3.3,8,T,i,t,a,FB8886-001,Air Jordan 1 Mid SE,Yes ,,3.3
0,6,W,h,i,t,FQ8174-237,Jordan 1 Mid,Yes ,,0
0,7,B,l,a,c,FB8876-600,Air Jordan Legacy 312,Yes ,,0
5,10,U,n,i,v,FZ3964-252,Jordan Max Aura 4,Yes ,,5
4,8,G,y,m, ,FZ3967-072,Jordan Max Aura 5,No,,4
3,9,W,h,i,t,FB8875-002,Air Jordan 1 Low,No,,3
0,8,B,l,u,e,FB8886-001,Air Jordan 1 Low FlyEase,Yes ,,3.5
4,8,B,l,a,c,FQ8174-237,Jordan Break,Yes ,,4
2,7,B,l,a,c,FB8876-600,Jordan Point Lane,Yes ,,2
4.5,6,B,l,a,c,FZ3964-252,Air Jordan 1 Low FlyEase,Yes ,,4.5
3,9,B,l,a,c,FZ3967-072,Jumpman MVP,Yes ,,3
4,9,A,n,t,h,FB8875-002,Jordan Air 200E Zion PE,Yes ,,4
5,8,W,h,i,t,FB8886-001,Jordan Dri-FIT Sport,Yes ,,5
5,6,S,k,y, ,FQ8174-237,Air Jordan 1 Mid,Yes ,,5
2.2,7,M,i,d,n,FB8876-600,Jordan Post,Yes ,,2.2
0.1,10,C,e,m,e,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,0.1
3.4,8,W,h,i,t,FZ3967-072,Air Jordan 3 'Off-Noir',Yes ,,3.4
3.5,9,B,l,a,c,FB8875-002,Air Jordan 4 Retro,No,,3.5
4,8,W,h,i,t,FB8886-001,Jordan Brooklyn Fleece,No,,4
4,8,W,h,i,t,FQ8174-237,Jumpman Two Trey,Yes ,,4
4,7,N,i,g,h,FB8876-600,Jumpman Two Trey,Yes ,,4
4,6,S,a,i,l,FZ3964-252,Jordan 1 Mid Alt,Yes ,,4
5,9,W,h,i,t,FZ3967-072,Jordan 1 Mid SE,Yes ,,5
5,9,G,e,o,d,FB8875-002,Jordan Brooklyn Fleece,Yes ,,5
3,8,B,l,a,c,FB8886-001,Zion 3 'Gen Zion',Yes ,,3
4,6,S,k,y, ,FQ8174-237,Air Jordan 1 Low SE,Yes ,,4
2,7,B,l,a,c,FB8876-600,Jordan Stay Loyal 2,Yes ,,2
3.3,10,T,i,t,a,FZ3964-252,Air Jordan 4 Craft 'Olive',Yes ,,3.3
0,8,W,h,i,t,FZ3967-072,Jordan Flight MVP,Yes ,,0
0,9,B,l,a,c,FB8875-002,Woodland Men Suede Trekking Shoes,Yes ,,0
5,8,U,n,i,v,FB8886-001,Woodland Men Nubuck Trekking Shoes,No,,5
4,8,G,y,m, ,FQ8174-237,Woodland Men Leather Trekking Shoes,No,,4
3,7,W,h,i,t,FB8876-600,Woodland Men Woven Design Running Shoes,Yes ,,3
0,6,B,l,u,e,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,3.5
4,9,B,l,a,c,FZ3967-072,Jordan Winterized 6 Rings,Yes ,,4
2,9,B,l,a,c,FB8875-002,Air Jordan 1 Mid SE,Yes ,,2
4.5,8,B,l,a,c,FB8886-001,Jordan Essentials,Yes ,,4.5
3,6,B,l,a,c,FQ8174-237,Jordan 1 Retro High OG,Yes ,,3
4,7,A,n,t,h,FB8876-600,Air Jordan 1 Mid SE Craft,Yes ,,4
5,10,W,h,i,t,FZ3964-252,Air Jordan 1 Hi FlyEase,Yes ,,5
5,8,S,k,y, ,FZ3967-072,Air Jordan 1 Mid,Yes ,,5
2.2,9,M,i,d,n,FB8875-002,Air Jordan 5 'Navy',Yes ,,2.2
0.1,8,C,e,m,e,FB8886-001,Air Jordan 1 Zoom CMFT 2,Yes ,,0.1
3.4,8,W,h,i,t,FQ8174-237,Air Jordan 1 Low,No,,3.4
3.5,7,B,l,a,c,FB8876-600,Air Jordan 1 Mid,No,,3.5
4,6,W,h,i,t,FZ3964-252,Air Jordan 1 Low G,Yes ,,4
4,9,W,h,i,t,FZ3967-072,Air Jordan 1 Hi FlyEase,Yes ,,4
4,9,N,i,g,h,FB8875-002,Air Jordan 1 Mid SE,Yes ,,4
4,8,S,a,i,l,FB8886-001,Jordan 1 Mid SE,Yes ,,4
5,6,W,h,i,t,FQ8174-237,Air Jordan 1 Low,Yes ,,5
5,7,G,e,o,d,FB8876-600,Air Jordan 1 Low SE,Yes ,,5
3,10,B,l,a,c,FZ3964-252,Air Jordan Legacy 312 Low,Yes ,,3
4,8,S,k,y, ,FZ3967-072,Air Jordan 1 Low SE Craft,Yes ,,4
2,9,B,l,a,c,FB8875-002,Jordan x UNDEFEATED,Yes ,,2
3.3,8,T,i,t,a,FB8886-001,Air Jordan 1 Elevate High,Yes ,,3.3
0,8,W,h,i,t,FQ8174-237,Jumpman Two Trey,Yes ,,0
0,7,B,l,a,c,FB8876-600,Jumpman Two Trey,No,,0
5,6,U,n,i,v,FZ3964-252,Air Jordan 1 Mid,No,,5
4,9,G,y,m, ,FZ3967-072,Jordan Essentials,Yes ,,4
3,9,W,h,i,t,FB8875-002,Air Jordan 1 Elevate High,Yes ,,3
0,8,B,l,u,e,FB8886-001,Jordan 1 Low Alt,Yes ,,3.5
0,6,B,l,u,e,FQ8174-237,Jordan Series,Yes ,,3.5
4,7,B,l,a,c,FB8876-600,Jordan Brooklyn Fleece,Yes ,,4
2,10,B,l,a,c,FZ3964-252,Air Jordan 1 Low SE,Yes ,,2
4.5,8,B,l,a,c,FZ3967-072,Air Jordan 1 Mid SE,Yes ,,4.5
3,9,B,l,a,c,FB8875-002,Jordan 1 Mid,Yes ,,3
4,8,A,n,t,h,FB8886-001,Air Jordan Legacy 312,Yes ,,4
5,8,W,h,i,t,FQ8174-237,Jordan Max Aura 4,Yes ,,5
5,7,S,k,y, ,FB8876-600,Jordan Max Aura 5,Yes ,,5
2.2,6,M,i,d,n,FZ3964-252,Air Jordan 1 Low,No,,2.2
0.1,9,C,e,m,e,FZ3967-072,Air Jordan 1 Low FlyEase,No,,0.1
3.4,9,W,h,i,t,FB8875-002,Jordan Break,Yes ,,3.4
3.5,8,B,l,a,c,FB8886-001,Jordan Point Lane,Yes ,,3.5
4,6,W,h,i,t,FQ8174-237,Air Jordan 1 Low FlyEase,Yes ,,4
4,7,W,h,i,t,FB8876-600,Jumpman MVP,Yes ,,4
4,10,N,i,g,h,FZ3964-252,Jordan Air 200E Zion PE,Yes ,,4
4,8,S,a,i,l,FZ3967-072,Jordan Dri-FIT Sport,Yes ,,4
5,9,W,h,i,t,FB8875-002,Air Jordan 1 Mid,Yes ,,5
5,8,G,e,o,d,FB8886-001,Jordan Post,Yes ,,5
3,8,B,l,a,c,FQ8174-237,Air Jordan 1 Mid SE,Yes ,,3
4,7,S,k,y, ,FB8876-600,Air Jordan 3 'Off-Noir',Yes ,,4
2,6,B,l,a,c,FZ3964-252,Air Jordan 4 Retro,Yes ,,2
3.3,9,T,i,t,a,FZ3967-072,Jordan Brooklyn Fleece,No,,3.3
0,9,W,h,i,t,FB8875-002,Jumpman Two Trey,No,,0
0,8,B,l,a,c,FB8886-001,Jumpman Two Trey,Yes ,,0
5,6,U,n,i,v,FQ8174-237,Jordan 1 Mid Alt,Yes ,,5
4,7,G,y,m, ,FB8876-600,Jordan 1 Mid SE,Yes ,,4
3,10,W,h,i,t,FZ3964-252,Jordan Brooklyn Fleece,Yes ,,3
0,8,B,l,u,e,FZ3967-072,Zion 3 'Gen Zion',Yes ,,3.5
4,9,B,l,a,c,FB8875-002,Air Jordan 1 Low SE,Yes ,,4
2,8,B,l,a,c,FB8886-001,Jordan Stay Loyal 2,Yes ,,2
4.5,8,B,l,a,c,FQ8174-237,Air Jordan 4 Craft 'Olive',Yes ,,4.5
3,7,B,l,a,c,FB8876-600,Jordan Flight MVP,Yes ,,3
4,6,A,n,t,h,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,4
5,9,W,h,i,t,FZ3967-072,Jordan Winterized 6 Rings,Yes ,,5
5,9,S,k,y, ,FB8875-002,Air Jordan 1 Mid SE,No,,5
2.2,8,M,i,d,n,FB8886-001,Jordan Essentials,No,,2.2
0.1,6,C,e,m,e,FQ8174-237,Jordan 1 Retro High OG,Yes ,,0.1
3.4,7,W,h,i,t,FB8876-600,Air Jordan 1 Mid SE Craft,Yes ,,3.4
3.5,10,B,l,a,c,FZ3964-252,Air Jordan 1 Hi FlyEase,Yes ,,3.5
4,8,W,h,i,t,FZ3967-072,Air Jordan 1 Mid,Yes ,,4
4,9,W,h,i,t,FB8875-002,Air Jordan 5 'Navy',Yes ,,4
4,8,N,i,g,h,FB8886-001,Air Jordan 1 Zoom CMFT 2,Yes ,,4
4,8,S,a,i,l,FQ8174-237,Air Jordan 1 Low,Yes ,,4
5,7,W,h,i,t,FB8876-600,Air Jordan 1 Mid,Yes ,,5
5,6,G,e,o,d,FZ3964-252,Air Jordan 1 Low G,Yes ,,5
3,9,B,l,a,c,FZ3967-072,Air Jordan 1 Hi FlyEase,Yes ,,3
4,9,S,k,y, ,FB8875-002,Air Jordan 1 Mid SE,Yes ,,4
2,8,B,l,a,c,FB8886-001,Jordan 1 Mid SE,No,,2
3.3,6,T,i,t,a,FQ8174-237,Air Jordan 1 Low,No,,3.3
0,7,W,h,i,t,FB8876-600,Air Jordan 1 Low SE,Yes ,,0
0,10,B,l,a,c,FZ3964-252,Air Jordan Legacy 312 Low,Yes ,,0
5,8,U,n,i,v,FZ3967-072,Air Jordan 1 Low SE Craft,Yes ,,5
4,9,G,y,m, ,FB8875-002,Jordan x UNDEFEATED,Yes ,,4
3,8,W,h,i,t,FB8886-001,Air Jordan 1 Elevate High,Yes ,,3
3.1,8,W,h,i,t,FQ8174-237,Jumpman Two Trey,Yes ,,3.1
0,7,B,l,u,e,FB8876-600,Jumpman Two Trey,Yes ,,3.5
